date,start_time,visitor_team,visitor_pts,home_team,home_pts,attendance,duration,spread,total
"Mon, Apr 1, 2024",7:00p,Boston Celtics,118,Charlotte Hornets,104,"19,238",1:54,-14,222
"Mon, Apr 1, 2024",7:00p,Memphis Grizzlies,110,Detroit Pistons,108,"19,999",2:08,-2,218
"Mon, Apr 1, 2024",7:00p,Brooklyn Nets,111,Indiana Pacers,133,"16,522",2:20,22,244
"Mon, Apr 1, 2024",7:00p,Portland Trail Blazers,103,Orlando Magic,104,"19,004",2:11,1,207
"Mon, Apr 1, 2024",8:00p,Atlanta Hawks,113,Chicago Bulls,101,"21,114",2:07,-12,214
"Mon, Apr 1, 2024",8:00p,Phoenix Suns,124,New Orleans Pelicans,111,"17,753",2:14,-13,235
"Tue, Apr 2, 2024",7:00p,Los Angeles Lakers,128,Toronto Raptors,111,"19,800",2:06,-17,239
"Tue, Apr 2, 2024",7:00p,Milwaukee Bucks,113,Washington Wizards,117,"16,492",2:13,4,230
"Tue, Apr 2, 2024",7:30p,New York Knicks,99,Miami Heat,109,"19,857",2:16,10,208
"Tue, Apr 2, 2024",7:30p,Oklahoma City Thunder,105,Philadelphia 76ers,109,"20,733",2:22,4,214
"Tue, Apr 2, 2024",8:00p,Houston Rockets,106,Minnesota Timberwolves,113,"18,024",2:13,7,219
"Tue, Apr 2, 2024",9:00p,San Antonio Spurs,105,Denver Nuggets,110,"19,741",2:10,5,215
"Tue, Apr 2, 2024",9:00p,Cleveland Cavaliers,129,Utah Jazz,113,"18,206",2:05,-16,242
"Tue, Apr 2, 2024",10:00p,Dallas Mavericks,100,Golden State Warriors,104,"18,064",2:20,4,204
"Tue, Apr 2, 2024",10:00p,Los Angeles Clippers,95,Sacramento Kings,109,"17,832",2:12,14,204
"Wed, Apr 3, 2024",7:00p,Portland Trail Blazers,89,Charlotte Hornets,86,"14,209",2:06,-3,175
"Wed, Apr 3, 2024",7:00p,Los Angeles Lakers,125,Washington Wizards,120,"20,333",2:14,-5,245
"Wed, Apr 3, 2024",7:30p,Detroit Pistons,113,Atlanta Hawks,121,"17,899",2:07,8,234
"Wed, Apr 3, 2024",7:30p,Oklahoma City Thunder,100,Boston Celtics,135,"19,156",2:14,35,235
"Wed, Apr 3, 2024",7:30p,Indiana Pacers,111,Brooklyn Nets,115,"17,732",2:15,4,226
"Wed, Apr 3, 2024",8:00p,Memphis Grizzlies,111,Milwaukee Bucks,101,"17,420",2:05,-10,212
"Wed, Apr 3, 2024",8:00p,Toronto Raptors,85,Minnesota Timberwolves,133,"18,024",2:00,48,218
"Wed, Apr 3, 2024",8:00p,Orlando Magic,117,New Orleans Pelicans,108,"16,427",,-9,225
"Wed, Apr 3, 2024",10:00p,Cleveland Cavaliers,101,Phoenix Suns,122,"17,071",2:14,21,223
"Thu, Apr 4, 2024",7:30p,Atlanta Hawks,95,Dallas Mavericks,109,"20,211",2:09,14,204
"Thu, Apr 4, 2024",7:30p,Philadelphia 76ers,109,Miami Heat,105,"19,719",2:07,-4,214
"Thu, Apr 4, 2024",7:30p,Sacramento Kings,109,New York Knicks,120,"19,812",2:28,11,229
"Thu, Apr 4, 2024",8:00p,Golden State Warriors,133,Houston Rockets,110,"18,055",2:13,-23,243
"Thu, Apr 4, 2024",10:00p,Denver Nuggets,100,Los Angeles Clippers,102,"19,370",2:33,2,202
"Fri, Apr 5, 2024",7:00p,Orlando Magic,115,Charlotte Hornets,124,"16,374",2:13,9,239
"Fri, Apr 5, 2024",7:00p,Oklahoma City Thunder,112,Indiana Pacers,126,"17,274",2:12,14,238
"Fri, Apr 5, 2024",7:00p,Portland Trail Blazers,108,Washington Wizards,102,"18,079",2:16,-6,210
"Fri, Apr 5, 2024",7:30p,Sacramento Kings,100,Boston Celtics,101,"19,156",2:03,1,201
"Fri, Apr 5, 2024",8:00p,New York Knicks,100,Chicago Bulls,108,"21,599",2:17,8,208
"Fri, Apr 5, 2024",8:00p,Miami Heat,119,Houston Rockets,104,"18,055",2:03,-15,223
"Fri, Apr 5, 2024",8:00p,Detroit Pistons,90,Memphis Grizzlies,108,"16,745",2:01,18,198
"Fri, Apr 5, 2024",8:00p,Toronto Raptors,117,Milwaukee Bucks,111,"17,750",2:21,-6,228
"Fri, Apr 5, 2024",8:00p,San Antonio Spurs,111,New Orleans Pelicans,109,"17,422",2:01,-2,220
"Fri, Apr 5, 2024",8:30p,Golden State Warriors,106,Dallas Mavericks,108,"20,425",2:21,2,214
"Fri, Apr 5, 2024",10:00p,Minnesota Timberwolves,87,Phoenix Suns,97,"17,071",2:08,10,184
"Fri, Apr 5, 2024",10:30p,Utah Jazz,102,Los Angeles Clippers,131,"19,370",2:04,29,233
"Sat, Apr 6, 2024",3:30p,Cleveland Cavaliers,97,Los Angeles Lakers,116,"18,997",2:04,19,213
"Sat, Apr 6, 2024",7:00p,Detroit Pistons,103,Brooklyn Nets,113,"17,732",2:07,10,216
"Sat, Apr 6, 2024",8:00p,Philadelphia 76ers,116,Memphis Grizzlies,96,"17,794",2:15,-20,212
"Sat, Apr 6, 2024",9:00p,Atlanta Hawks,110,Denver Nuggets,142,"19,639",2:10,32,252
"Sun, Apr 7, 2024",3:30p,Houston Rockets,136,Dallas Mavericks,147,"20,317",2:48,11,283
"Sun, Apr 7, 2024",3:30p,Cleveland Cavaliers,118,Los Angeles Clippers,120,"19,370",2:19,2,238
"Sun, Apr 7, 2024",5:00p,Miami Heat,115,Indiana Pacers,117,"17,274",2:28,2,232
"Sun, Apr 7, 2024",6:00p,Portland Trail Blazers,107,Boston Celtics,124,"19,156",1:51,17,231
"Sun, Apr 7, 2024",6:00p,Oklahoma City Thunder,121,Charlotte Hornets,118,"16,556",2:12,-3,239
"Sun, Apr 7, 2024",6:00p,Chicago Bulls,98,Orlando Magic,113,"19,276",2:11,15,211
"Sun, Apr 7, 2024",6:00p,New Orleans Pelicans,113,Phoenix Suns,105,"17,071",2:13,-8,218
"Sun, Apr 7, 2024",6:00p,Washington Wizards,122,Toronto Raptors,130,"19,502",2:23,8,252
"Sun, Apr 7, 2024",7:00p,New York Knicks,122,Milwaukee Bucks,109,"17,536",2:15,-13,231
"Sun, Apr 7, 2024",7:00p,Philadelphia 76ers,133,San Antonio Spurs,126,"18,046",2:52,-7,259
"Sun, Apr 7, 2024",7:30p,Sacramento Kings,107,Brooklyn Nets,77,"17,732",2:06,-30,184
"Sun, Apr 7, 2024",8:30p,Utah Jazz,110,Golden State Warriors,118,"18,064",2:07,8,228
"Sun, Apr 7, 2024",10:00p,Minnesota Timberwolves,127,Los Angeles Lakers,117,"18,997",2:05,-10,244
"Tue, Apr 9, 2024",7:00p,Dallas Mavericks,130,Charlotte Hornets,104,"17,425",2:01,-26,234
"Tue, Apr 9, 2024",7:00p,Detroit Pistons,102,Philadelphia 76ers,120,"19,796",2:15,18,222
"Tue, Apr 9, 2024",7:00p,Indiana Pacers,140,Toronto Raptors,123,"19,325",2:17,-17,263
"Tue, Apr 9, 2024",7:30p,Miami Heat,117,Atlanta Hawks,111,"17,049",2:35,-6,228
"Tue, Apr 9, 2024",7:30p,Boston Celtics,91,Milwaukee Bucks,104,"17,493",1:57,13,195
"Tue, Apr 9, 2024",8:00p,New York Knicks,128,Chicago Bulls,117,"21,648",2:12,-11,245
"Tue, Apr 9, 2024",8:00p,Orlando Magic,106,Houston Rockets,118,"18,055",2:11,12,224
"Tue, Apr 9, 2024",8:00p,San Antonio Spurs,102,Memphis Grizzlies,87,"16,108",1:55,-15,189
"Tue, Apr 9, 2024",8:00p,Washington Wizards,121,Minnesota Timberwolves,130,"18,024",2:12,9,251
"Tue, Apr 9, 2024",8:00p,Sacramento Kings,105,Oklahoma City Thunder,112,"17,509",2:17,7,217
"Tue, Apr 9, 2024",9:00p,Denver Nuggets,111,Utah Jazz,95,"18,206",1:58,-16,206
"Tue, Apr 9, 2024",10:00p,Golden State Warriors,134,Los Angeles Lakers,120,"18,997",2:15,-14,254
"Tue, Apr 9, 2024",10:00p,Los Angeles Clippers,105,Phoenix Suns,92,"17,071",2:11,-13,197
"Tue, Apr 9, 2024",10:00p,New Orleans Pelicans,110,Portland Trail Blazers,100,"18,341",2:01,-10,210
"Wed, Apr 10, 2024",7:00p,Memphis Grizzlies,98,Cleveland Cavaliers,110,"19,432",2:10,12,208
"Wed, Apr 10, 2024",7:30p,Charlotte Hornets,115,Atlanta Hawks,114,"16,158",2:09,-1,229
"Wed, Apr 10, 2024",7:30p,Toronto Raptors,102,Brooklyn Nets,106,"17,732",2:20,4,208
"Wed, Apr 10, 2024",7:30p,Dallas Mavericks,111,Miami Heat,92,"19,660",2:10,-19,203
"Wed, Apr 10, 2024",8:00p,Orlando Magic,99,Milwaukee Bucks,117,"17,563",2:12,18,216
"Wed, Apr 10, 2024",8:00p,San Antonio Spurs,89,Oklahoma City Thunder,127,"17,229",1:57,38,216
"Wed, Apr 10, 2024",10:00p,Minnesota Timberwolves,107,Denver Nuggets,116,"19,845",2:21,9,223
"Wed, Apr 10, 2024",10:30p,Phoenix Suns,124,Los Angeles Clippers,108,"19,370",2:02,-16,232
"Thu, Apr 11, 2024",7:00p,Chicago Bulls,127,Detroit Pistons,105,"20,013",2:03,-22,232
"Thu, Apr 11, 2024",7:30p,New York Knicks,118,Boston Celtics,109,"19,156",2:04,-9,227
"Thu, Apr 11, 2024",9:00p,Houston Rockets,121,Utah Jazz,124,"18,206",2:18,3,245
"Thu, Apr 11, 2024",10:00p,Golden State Warriors,100,Portland Trail Blazers,92,"19,335",2:04,-8,192
"Thu, Apr 11, 2024",10:00p,New Orleans Pelicans,135,Sacramento Kings,123,"17,832",2:17,-12,258
"Fri, Apr 12, 2024",7:00p,Orlando Magic,113,Philadelphia 76ers,125,"20,149",2:21,12,238
"Fri, Apr 12, 2024",7:00p,Chicago Bulls,129,Washington Wizards,127,"20,333",2:20,-2,256
"Fri, Apr 12, 2024",7:30p,Charlotte Hornets,98,Boston Celtics,131,"19,156",1:56,33,229
"Fri, Apr 12, 2024",7:30p,Indiana Pacers,120,Cleveland Cavaliers,129,"19,432",2:11,9,249
"Fri, Apr 12, 2024",7:30p,Brooklyn Nets,107,New York Knicks,111,"19,812",2:15,4,218
"Fri, Apr 12, 2024",8:00p,Los Angeles Lakers,123,Memphis Grizzlies,120,"17,794",2:20,-3,243
"Fri, Apr 12, 2024",8:00p,Toronto Raptors,103,Miami Heat,125,"19,600",2:07,22,228
"Fri, Apr 12, 2024",8:00p,Atlanta Hawks,106,Minnesota Timberwolves,109,"18,024",2:22,3,215
"Fri, Apr 12, 2024",8:00p,Milwaukee Bucks,107,Oklahoma City Thunder,125,"18,203",206:00,18,232
"Fri, Apr 12, 2024",8:00p,Denver Nuggets,120,San Antonio Spurs,121,"18,665",2:07,1,241
"Fri, Apr 12, 2024",8:30p,Detroit Pistons,107,Dallas Mavericks,89,"20,274",1:55,-18,196
"Fri, Apr 12, 2024",10:00p,New Orleans Pelicans,114,Golden State Warriors,109,"18,064",2:13,-5,223
"Fri, Apr 12, 2024",10:00p,Houston Rockets,116,Portland Trail Blazers,107,"18,630",2:07,-9,223
"Fri, Apr 12, 2024",10:30p,Utah Jazz,110,Los Angeles Clippers,109,"19,370",2:07,-1,219
"Fri, Apr 12, 2024",10:30p,Phoenix Suns,108,Sacramento Kings,107,"17,832",2:16,-1,215
"Sun, Apr 14, 2024",1:00p,Washington Wizards,122,Boston Celtics,132,"19,156",2:01,10,254
"Sun, Apr 14, 2024",1:00p,Charlotte Hornets,120,Cleveland Cavaliers,110,"19,432",1:48,-10,230
"Sun, Apr 14, 2024",1:00p,Atlanta Hawks,115,Indiana Pacers,157,"17,274",2:04,42,272
"Sun, Apr 14, 2024",1:00p,Toronto Raptors,103,Miami Heat,118,"19,600",2:06,15,221
"Sun, Apr 14, 2024",1:00p,Chicago Bulls,119,New York Knicks,120,"19,812",2:35,1,239
"Sun, Apr 14, 2024",1:00p,Milwaukee Bucks,88,Orlando Magic,113,"18,846",2:08,25,201
"Sun, Apr 14, 2024",1:00p,Brooklyn Nets,86,Philadelphia 76ers,107,"20,246",2:01,21,193
"Sun, Apr 14, 2024",3:30p,Utah Jazz,116,Golden State Warriors,123,"18,064",2:04,7,239
"Sun, Apr 14, 2024",3:30p,Houston Rockets,116,Los Angeles Clippers,105,"19,370",1:55,-11,221
"Sun, Apr 14, 2024",3:30p,Denver Nuggets,126,Memphis Grizzlies,111,"17,544",2:09,-15,237
"Sun, Apr 14, 2024",3:30p,Phoenix Suns,125,Minnesota Timberwolves,106,"18,024",2:11,-19,231
"Sun, Apr 14, 2024",3:30p,Los Angeles Lakers,124,New Orleans Pelicans,108,"18,633",2:16,-16,232
"Sun, Apr 14, 2024",3:30p,Dallas Mavericks,86,Oklahoma City Thunder,135,"18,203",1:56,49,221
"Sun, Apr 14, 2024",3:30p,Portland Trail Blazers,82,Sacramento Kings,121,"18,037",2:06,39,203
"Sun, Apr 14, 2024",3:30p,Detroit Pistons,95,San Antonio Spurs,123,"18,516",1:54,28,218
"Tue, Apr 16, 2024",7:30p,Los Angeles Lakers,110,New Orleans Pelicans,106,"18,591",2:33,-4,216
"Tue, Apr 16, 2024",10:00p,Golden State Warriors,94,Sacramento Kings,118,"18,304",2:21,24,212
"Wed, Apr 17, 2024",7:00p,Miami Heat,104,Philadelphia 76ers,105,"19,788",2:29,1,209
"Wed, Apr 17, 2024",9:30p,Atlanta Hawks,116,Chicago Bulls,131,"21,627",2:16,15,247
"Fri, Apr 19, 2024",7:00p,Chicago Bulls,91,Miami Heat,112,"19,600",2:09,21,203
"Fri, Apr 19, 2024",9:30p,Sacramento Kings,98,New Orleans Pelicans,105,"18,656",2:22,7,203
"Sat, Apr 20, 2024",1:00p,Orlando Magic,83,Cleveland Cavaliers,97,"19,432",2:32,14,180
"Sat, Apr 20, 2024",3:30p,Phoenix Suns,95,Minnesota Timberwolves,120,"19,478",2:35,25,215
"Sat, Apr 20, 2024",6:00p,Philadelphia 76ers,104,New York Knicks,111,"19,812",2:30,7,215
"Sat, Apr 20, 2024",8:30p,Los Angeles Lakers,103,Denver Nuggets,114,"19,731",2:11,11,217
"Sun, Apr 21, 2024",1:00p,Miami Heat,94,Boston Celtics,114,"19,156",2:09,20,208
"Sun, Apr 21, 2024",3:30p,Dallas Mavericks,97,Los Angeles Clippers,109,"19,370",2:22,12,206
"Sun, Apr 21, 2024",7:00p,Indiana Pacers,94,Milwaukee Bucks,109,"17,341",2:17,15,203
"Sun, Apr 21, 2024",9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,94,"18,203",2:21,2,186
"Mon, Apr 22, 2024",7:00p,Orlando Magic,86,Cleveland Cavaliers,96,"19,432",2:31,10,182
"Mon, Apr 22, 2024",7:30p,Philadelphia 76ers,101,New York Knicks,104,"19,812",2:35,3,205
"Mon, Apr 22, 2024",10:00p,Los Angeles Lakers,99,Denver Nuggets,101,"19,711",2:19,2,200
"Tue, Apr 23, 2024",7:30p,Phoenix Suns,93,Minnesota Timberwolves,105,"19,310",2:32,12,198
"Tue, Apr 23, 2024",8:30p,Indiana Pacers,125,Milwaukee Bucks,108,"17,683",2:21,-17,233
"Tue, Apr 23, 2024",10:00p,Dallas Mavericks,96,Los Angeles Clippers,93,"19,370",2:35,-3,189
"Wed, Apr 24, 2024",7:00p,Miami Heat,111,Boston Celtics,101,"19,156",2:19,-10,212
"Wed, Apr 24, 2024",9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,124,"18,203",2:18,32,216
"Thu, Apr 25, 2024",7:00p,Cleveland Cavaliers,83,Orlando Magic,121,"18,846",2:10,38,204
"Thu, Apr 25, 2024",7:30p,New York Knicks,114,Philadelphia 76ers,125,"21,116",2:36,11,239
"Thu, Apr 25, 2024",10:00p,Denver Nuggets,112,Los Angeles Lakers,105,"18,997",2:18,-7,217
"Fri, Apr 26, 2024",5:30p,Milwaukee Bucks,118,Indiana Pacers,121,"17,274",2:50,3,239
"Fri, Apr 26, 2024",8:00p,Los Angeles Clippers,90,Dallas Mavericks,101,"20,402",2:28,11,191
"Fri, Apr 26, 2024",10:30p,Minnesota Timberwolves,126,Phoenix Suns,109,"17,071",2:34,-17,235
"Sat, Apr 27, 2024",1:00p,Cleveland Cavaliers,89,Orlando Magic,112,"18,933",2:20,23,201
"Sat, Apr 27, 2024",3:30p,Oklahoma City Thunder,106,New Orleans Pelicans,85,"18,659",2:17,-21,191
"Sat, Apr 27, 2024",6:00p,Boston Celtics,104,Miami Heat,84,"20,092",2:11,-20,188
"Sat, Apr 27, 2024",8:30p,Denver Nuggets,108,Los Angeles Lakers,119,"18,997",2:19,11,227
"Sun, Apr 28, 2024",1:00p,New York Knicks,97,Philadelphia 76ers,92,"21,048",2:41,-5,189
"Sun, Apr 28, 2024",3:30p,Los Angeles Clippers,116,Dallas Mavericks,111,"20,411",2:36,-5,227
"Sun, Apr 28, 2024",7:00p,Milwaukee Bucks,113,Indiana Pacers,126,"17,274",2:25,13,239
"Sun, Apr 28, 2024",9:30p,Minnesota Timberwolves,122,Phoenix Suns,116,"17,071",2:48,-6,238
"Mon, Apr 29, 2024",7:30p,Boston Celtics,102,Miami Heat,88,"19,600",2:20,-14,190
"Mon, Apr 29, 2024",8:30p,Oklahoma City Thunder,97,New Orleans Pelicans,89,"18,487",2:24,-8,186
"Mon, Apr 29, 2024",10:00p,Los Angeles Lakers,106,Denver Nuggets,108,"19,861",2:19,2,214
"Tue, Apr 30, 2024",7:00p,Philadelphia 76ers,112,New York Knicks,106,"19,812",2:49,-6,218
"Tue, Apr 30, 2024",8:00p,Orlando Magic,103,Cleveland Cavaliers,104,"19,432",2:31,1,207
"Tue, Apr 30, 2024",9:30p,Indiana Pacers,92,Milwaukee Bucks,115,"17,341",2:25,23,207
